,predictions,labels,generation
0,2,0,"[INST] <<SYS>>

<</SYS>>

  Dani, est-ce que tu t'es inscrite à ton concours administratif ? [/INST] 2. O"
1,2,0,"[INST] <<SYS>>

<</SYS>>

  Elle passe aussi à la boulagerie et elle achète une baguette toute chaude et des croissants pour le petit-déjeuner [/INST] 2/0"
2,0,0,"[INST] <<SYS>>

<</SYS>>

  J'ai un frère et une soeur. [/INST] 0"
3,0,0,"[INST] <<SYS>>

<</SYS>>

  Vous rentrez à quelle heure ? [/INST] 00:"
4,2,0,"[INST] <<SYS>>

<</SYS>>

  Qu'en pensez-vous ? [/INST] 2. Je"
5,0,0,"[INST] <<SYS>>

<</SYS>>

  Je m'appelle Henri. [/INST] 01."
6,0,0,"[INST] <<SYS>>

<</SYS>>

  Nous avons un cours de Français. [/INST] 05:"
7,0,0,"[INST] <<SYS>>

<</SYS>>

  Vous aimez ce film ? [/INST] 0"
8,1,0,"[INST] <<SYS>>

<</SYS>>

  On fait réparer ses chaussures [/INST] 1. On"
9,0,0,"[INST] <<SYS>>

<</SYS>>

  Je suis le professeur Duquesnes. [/INST] 05:"
10,1,0,"[INST] <<SYS>>

<</SYS>>

  Qu'est-ce qu'il a ton petit chat ? [/INST] 1. Je"
11,2,0,"[INST] <<SYS>>

<</SYS>>

  Il trouve qu'il fait trop chaud, alors il s'est ennuyé [/INST] 2. Il"
12,0,0,"[INST] <<SYS>>

<</SYS>>

  Il me reste des croissants. [/INST] 05:"
13,0,0,"[INST] <<SYS>>

<</SYS>>

  Elle ne travaille pas [/INST] 05:"
14,0,0,"[INST] <<SYS>>

<</SYS>>

  Le restaurant est sur votre gauche [/INST] 05:"
15,1,0,"[INST] <<SYS>>

<</SYS>>

  L'une s'appelle Jennifer et elle a 21 ans et l'autre s'appelle Ashley et elle a 22 ans [/INST] 1. Qu"
16,0,0,"[INST] <<SYS>>

<</SYS>>

  Je mange de l'herbe [/INST] 05:"
17,2,0,"[INST] <<SYS>>

<</SYS>>

  Le test de niveau en français est sur le site Internet de l'école. [/INST] 2. Je"
18,0,0,"[INST] <<SYS>>

<</SYS>>

  Vous parlez bien anglais. [/INST] 05:"
