,sentence,difficulty,predictions
0,"Dani, est-ce que tu t'es inscrite à ton concours administratif ?",A1,A2
1,Elle passe aussi à la boulagerie et elle achète une baguette toute chaude et des croissants pour le petit-déjeuner,A1,A1
2,J'ai un frère et une soeur.,A1,A1
3,Vous rentrez à quelle heure ?,A1,A1
4,Qu'en pensez-vous ?,A1,A1
5,Je m'appelle Henri.,A1,A1
6,Nous avons un cours de Français.,A1,A1
7,Vous aimez ce film ?,A1,A1
8,On fait réparer ses chaussures,A1,A1
9,Je suis le professeur Duquesnes.,A1,A1
10,Qu'est-ce qu'il a ton petit chat ?,A1,A1
11,"Il trouve qu'il fait trop chaud, alors il s'est ennuyé",A1,A2
12,Il me reste des croissants.,A1,A1
13,Elle ne travaille pas,A1,A1
14,Le restaurant est sur votre gauche,A1,A1
15,L'une s'appelle Jennifer et elle a 21 ans et l'autre s'appelle Ashley et elle a 22 ans,A1,A1
16,Je mange de l'herbe,A1,A1
17,Le test de niveau en français est sur le site Internet de l'école.,A1,B1
18,Vous parlez bien anglais.,A1,A1
19,L'école donne des cours de français.,A1,A1
20,J'habite à Rouen mais je travaille à Paris,A1,A1
21,J'habite à New-York. Et toi ?,A1,A1
22,Séverine est arrivée après une annonce que ma fille a faite.,A1,B1
23,Max ira à l'université l'année prochaine.,A1,A2
24,Merci pour cette histoire et bonne année !,A1,A1
25,Est-ce qu'il y a du pain?,A1,A1
26,Pour le dessert il y a de la mousse au chocolat.,A1,A1
27,Venez ici.,A1,A1
28,Il parle italien et anglais,A1,A1
29,Il pleut et j'attends l'autobus,A1,A1
30,"Je suis une fille, je suis française et j'ai treize ans",A1,A1
31,C'est loin de Paris ça !,A1,A1
32,"Moi, je suis musicien, je suis violoniste.",A1,A1
33,Viens ici!,A1,A1
34,Est-ce qu'il y a des devoirs?,A1,A2
35,Mais il y a un problème .,A1,A2
36,Faites des groupes de trois personnes.,A1,A1
37,J'ai deux voisins.,A1,A1
38,"Il vit à Paris avec ses parents et sa petite soeur Julie, âgée de 8 ans.",A1,A1
39,"Et bien sûr, c'est également la saison parfaite pour savourer une boisson chaude emmitouflée dans une couverture devant un bon feu de cheminée",A1,B1
40,"Pour aller à la mairie, s'il vous plaît ?",A1,A1
41,"Mon mari et moi avons deux enfants, une fille de sept ans et un garçon de trois ans.",A1,A1
42,Il est bizarre ce chien.,A1,A1
43,Parlez-moi de votre famille.,A1,A1
44,Cette année Virginie est partie une semaine dans un hôtel à Arcachon avec son mari,A1,A1
45,"Je vous rappelle vos rendez-vous de demain, mardi.",A1,A1
46,Ils étaient là,A1,A1
47,Je vais prendre ma douche dans ma salle-de-bain.,A1,A1
48,Qui propose un travail de serveur ?,A1,A2
49,"Merci monsieur, au revoir.",A1,A1
50,"Bonjour, c'est mon dernier jour dans cette école.",A1,A1
51,C'est très difficile.,A1,A1
52,J'ai quatre pattes,A1,A1
53,Elle s'appelle Folio et elle a un an.,A1,A1
54,"Mon ordinateur ne fonctionne plus, je dois le changer.",A1,A2
55,"Je suis dans le bus, j'arrive dans 5 minutes.",A1,A1
56,"Le bébé pleure depuis des heures, il a faim.",A1,A2
57,C'est un spectacle magique,A1,A2
58,Il y a beaucoup de désordre dans l'appartement.,A1,A2
59,C'est parce qu'il n'aimait pas les plats de la cantine.,A1,A2
60,"Tous les mardis, il va à l'entraînement de football.",A1,A1
61,Nous les mangeons ensemble le samedi soir.,A1,A1
62,Quelle est ta chanson préférée dans le spectacle ?,A1,A2
63,"Ici, il fait toujours chaud.",A1,A1
64,Elle est rapide.,A1,A1
65,"Et là en revanche, ça pourrait me servir.",A1,B1
66,Il ne vient pas à la fête ce soir,A1,A1
67,Un saison parfaite pour les sorcières,A1,B1
68,Mais que fait Jules ?,A1,A2
69,Comment allez-vous ?,A1,A1
70,Puis-je utiliser les toilettes?,A1,A2
71,Je ne trouve pas mes clés.,A1,A1
72,Le jour de l'An correspond au 1 janvier.,A1,A1
73,Qu'est ce que vous faites dans le parc?,A1,A1
74,"C'est ici, Monsieur.",A1,A1
75,"Je suis désolé, j'ai oublié mes devoirs à la maison.",A1,A2
76,Merci beaucoup pour cette histoire.,A1,A1
77,Vous avez 10 minutes pour faire le test.,A1,A2
78,"Tous les ans, Jean passe ses vacances dans un grand hôtel du Sud de la France",A1,A1
79,Tu parles bien anglais.,A1,A1
80,Je souhaiterais vous rencontrer à ce sujet.,A1,A1
81,Comment vas-tu ?,A1,A1
82,Elle est petite.,A1,A1
83,Je reste avec toi.,A1,A1
84,Tu me manques beaucoup,A1,A1
85,Domi était très contente de découvrir ce monde magnifique.,A1,B1
86,"Elles m'ont promis de me faire découvrir tout Londres : nous visiterons les musées, les monuments et les parcs",A1,B1
87,Il joue de la guitare dans un bar.,A1,A1
88,"Je vois trois pommes de terre, mais elles ne sont pas bonnes.",A1,A2
89,"Mais aujourd'hui, il a un peu peur.",A1,A2
90,"Pendant les trois années d'études, je vivais déjà chez elle.",A1,B1
91,Elle partage un appartement avec deux garçons.,A1,A1
92,Mais où est Alice ?,A1,A1
93,Mon ami ne répond pas au téléphone.,A1,A1
94,"Delphine, je t'attends au coin de la rue, devant la pharmacie",A1,A2
95,C'est le plat préféré de Manon.,A1,A2
96,J'ai eu un week-end un peu spécial.,A1,A2
97,"Aujourd'hui, on est samedi, nous rendons visite à notre grand-mère",A1,A1
98,Il a mal à la tête à cause de la musique.,A1,A2
99,Pour six personnes.,A1,A1
100,"Qu'est-ce que je vous sers, mesdemoiselles ?",A1,A2
101,Le train de ma soeur arrive à 20h05,A1,A1
102,Est-ce que ton mari est aussi de Boston?,A1,A1
103,Rien d'autre.,A1,A1
104,Qu'est-ce que tu vas faire l'année prochaine,A1,A1
105,"Si tu veux, tu peux arriver tôt.",A1,A1
106,J'ai des cours de méchanique et d'informatique.,A1,A1
107,Travaillez par groupe de deux personnes.,A1,A1
108,Il est important de boire du café.,A1,A1
109,Je conduis la voiture.,A1,A1
110,Mon mari est professeur d'anglais dans une école qui se trouve à 20 kilomètres de la maison.,A1,A1
111,La police cherche le voleur de mon vélo.,A1,A2
112,C'est quoi le plat du jour s'il vous plaît ?,A1,A1
113,Qu'est-ce que ça veut dire ?,A1,A1
114,Nous commençons un nouveau cours,A1,A1
115,Juste un peu.,A1,A1
116,"Après avoir bu une tasse de thé dans un café, je rentre chez moi en bus",A1,B1
117,Je vais prendre une tarte aux fraises.,A1,A1
118,Elle est au chômage en ce moment,A1,A1
119,Comment allez-vous aujourd'hui ?,A1,A1
120,"Je m'appelle Bob, je suis médecin et j'ai 35 ans.",A1,A1
121,J'ai déjà mangé.,A1,A1
122,Elle est grande !,A1,A1
123,J'aime beaucoup ceux avec la tour Eiffel.,A1,A1
124,Juste un petit peu.,A1,A1
125,Elle a décidé de s'y installer.,A1,A2
126,"Si vous êtes intéressé, appelez-moi.",A1,A1
