file_name,model_id,datetime
train_french_difficulty_CECRL_prepared_for_fine_tuning,ft:gpt-3.5-turbo-0613:university-of-lausanne::8QC536Nl,1701253692.3224423
train_french_difficulty_empty_davinci-002_prepared_for_fine_tuning,ft:davinci-002:university-of-lausanne::8QCZp0Y2,1701255605.951468
train_french_difficulty_empty_babbage-002_prepared_for_fine_tuning,ft:babbage-002:university-of-lausanne::8QCl5zSl,1701256296.525807
train_french_difficulty_CECRL_davinci-002_prepared_for_fine_tuning,ft:davinci-002:university-of-lausanne::8QD1Xbjf,1701257316.9369323
train_french_difficulty_CECRL_babbage-002_prepared_for_fine_tuning,ft:babbage-002:university-of-lausanne::8QDDOxw0,1701258050.15473
train_sentences_empty_davinci-002_prepared_for_fine_tuning,ft:davinci-002:university-of-lausanne::8QDQINn1,1701258853.2675812
train_sentences_empty_babbage-002_prepared_for_fine_tuning,ft:babbage-002:university-of-lausanne::8QDaQaCo,1701259481.852747
train_sentences_CECRL_davinci-002_prepared_for_fine_tuning,ft:davinci-002:university-of-lausanne::8QDoTY1V,1701260357.8868902
train_sentences_CECRL_babbage-002_prepared_for_fine_tuning,ft:babbage-002:university-of-lausanne::8QDyhjW0,1701260987.5410006
train_ljl_empty_davinci-002_prepared_for_fine_tuning,ft:davinci-002:university-of-lausanne::8QEESk7J,1701261959.1535065
train_ljl_empty_babbage-002_prepared_for_fine_tuning,ft:babbage-002:university-of-lausanne::8QENQKTK,1701262520.0074852
train_ljl_CECRL_davinci-002_prepared_for_fine_tuning,ft:davinci-002:university-of-lausanne::8QEc9bOU,1701263431.1526856
train_ljl_CECRL_babbage-002_prepared_for_fine_tuning,ft:babbage-002:university-of-lausanne::8QEmXtlZ,1701264072.5399373
train_french_difficulty_empty_gpt-3.5-turbo-1106_prepared_for_fine_tuning,ft:gpt-3.5-turbo-1106:university-of-lausanne::8S1DqR8V,1701688612.778973
train_french_difficulty_CECRL_gpt-3.5-turbo-1106_prepared_for_fine_tuning,ft:gpt-3.5-turbo-1106:university-of-lausanne::8S2AcQXl,1701692259.759148
train_sentences_empty_gpt-3.5-turbo-1106_prepared_for_fine_tuning,ft:gpt-3.5-turbo-1106:university-of-lausanne::8S3UMIx9,1701697325.289615
train_sentences_CECRL_gpt-3.5-turbo-1106_prepared_for_fine_tuning,ft:gpt-3.5-turbo-1106:university-of-lausanne::8S4tvVym,1701702760.8341656
train_ljl_empty_gpt-3.5-turbo-1106_prepared_for_fine_tuning,ft:gpt-3.5-turbo-1106:university-of-lausanne::8S5w5UNK,1701706730.525061
train_ljl_CECRL_gpt-3.5-turbo-1106_prepared_for_fine_tuning,ft:gpt-3.5-turbo-1106:university-of-lausanne::8S75jPff,1701711174.5032954
