Sentence,Difficulty,Simplified
"Les gens croient qu'ils font ce qu'ils veulent, mais leur caractère peut les aider ou les empêcher parfois.",B1,"Les gens pensent qu'ils font ce qu'ils veulent, mais leur personnalité peut les aider ou les empêcher parfois."
"D'accord, explique-moi ce que veut dire cette partie de la philosophie qui parle des choses qui ne pensent pas.",B1,"D'accord, explique-moi ce que veut dire cette partie de la philosophie qui parle des choses qui ne pensent pas."
"Si on fait autre chose avec les réactions chimiques, on ne sait pas ce qu'elles vont faire. Sans changer quelque chose, il n'y a pas de science, juste des choses que l'on fait sans savoir pourquoi.",B1,"Si on fait autre chose avec les réactions chimiques, on ne sait pas ce qu'elles vont faire. Sans changer quelque chose, il n'y a pas de science, juste des choses que l'on fait sans savoir pourquoi."
"Il y avait une grande fenêtre avec beaucoup de petits carrés de verre bleus. Quand le soleil passait à travers elle, elle faisait des jolis effets de lumière. Ça me rappelait une grotte avec des pierres colorées. Quand je regardais à travers elle, je pouvais voir des pierres précieuses et un peu de soleil. Ça me faisait sentir mieux.",B1,"Il y avait une grande fenêtre avec beaucoup de petits carrés de verre bleus. Quand le soleil passait à travers elle, elle faisait des jolis effets de lumière. Ça me rappelait une grotte avec des pierres colorées. Quand je regardais à travers elle, je pouvais voir des pierres précieuses et un peu de soleil. Ça me faisait sentir mieux."
"Les Français ont du mal avec les langues étrangères, surtout l'anglais, et ça a été montré.",B1,"Les Français ont du mal avec les langues étrangères, surtout l'anglais, et ça a été montré."
"M. de P *** avait beaucoup de confiance en Ellénore après 10 ans de travail ensemble, il lui laissait beaucoup de liberté.",B2,"M. de P *** avait beaucoup de confiance en Ellénore après 10 ans de travail ensemble, il lui laissait beaucoup de liberté."
La vraie science est de voir comment les choses sont liées pour comprendre tout le reste sans chercher trop loin.,B1,La vraie science est de voir comment les choses sont liées pour comprendre tout le reste sans chercher trop loin.
Les gens ont des idées différentes et il est difficile de tout décider ensemble.,B1,Les gens pensent différemment et il est difficile de tout choisir ensemble.
"Quand on trouve une bonne réponse en chimie, on sait qu'elle est vraie et scientifique.",B1,"Quand on trouve une bonne réponse en chimie, on sait qu'elle est vraie et scientifique."
"Dans l'ancienne religion grecque, on pense que Dieu nous aide mais on doit aussi travailler pour être heureux.",B1,"Dans l'ancienne religion grecque, on croit que Dieu nous aide mais on doit aussi faire quelque chose pour être heureux."
"On peut faire des projets avec des idées connues, mais il était plus difficile à l'origine de trouver des sujets intéressants à étudier.",B1,"On peut faire des projets avec des idées connues, mais il était plus dur à l'origine de trouver des sujets intéressants à étudier."
"Si quelque chose semble simple, c'est souvent plus difficile à comprendre. Et quand quelque chose est compliqué, c'est encore plus dur à comprendre. Mais quand quelque chose est simple, c'est plus simple à comprendre.",B1,"Quand quelque chose est simple, ça va mieux pour comprendre. Mais quand ça est compliqué, ça va plus mal. Donne moi une phrase simplifiée au niveau A2 tout en conservant son sens original."
Il n'y a pas beaucoup de paroles dans cette conversation et elle n'est pas très importante dans le livre.,B1,Il n'y a pas beaucoup de mots dans cette conversation et elle n'est pas très importante dans le livre.
Dis-moi une phrase simple au niveau A1 tout en conservant son sens original.,B1,Dites-moi une phrase simple au niveau A1 tout en conservant son sens original.
Les villes et les villages parlent ensemble pour savoir où construire de nouveaux endroits. Les quartiers d'une ville montrent si elle peut grandir ou non.,B1,Les villes et les villages discutent ensemble pour savoir où construire de nouveaux endroits. Les quartiers d'une ville montrent si elle peut grandir ou non.
"Les enfants portaient des vêtements comme leurs pères et ils avaient du mal avec eux. Ils avaient même leurs premières bottes ce jour-là. À côté d'eux, une grande fille avait peur de salir ses gants blancs.",B1,"Les enfants portaient des vêtements comme leurs pères et ils avaient du mal avec eux. Ils avaient même leurs premières bottes ce jour-là. À côté d'eux, une grande fille avait peur de salir ses gants blancs."
